PC1 PC2
-1.952962 1.050883
0.3029719 -0.3451222
2.415906 2.761985
2.226535 1.632553
3.342583 3.294765
-0.4529951 2.335405
1.153292 0.0709529
-0.4545528 1.608409
-0.9292535 1.269897
0.7736036 1.216196
0.3765735 0.9558468
1.101253 2.581298
1.227077 -0.2052607
0.3175211 1.820312
1.331114 2.604476
0.0821075 1.069974
1.514062 0.932281
-1.75038 0.5509425
-0.3703242 0.4854528
1.147569 1.865025
2.455502 0.7278319
0.03943769 -0.6529204
0.4512338 -0.2034385
0.162978 -0.3905237
0.693999 1.935962
-0.04933758 2.058641
-1.615469 0.2739988
0.1768906 2.07162
1.044269 0.9034008
0.1748638 1.121104
-0.1274685 1.10454
0.7166366 3.427662
0.8844858 2.600251
-0.5984569 0.2677173
2.005521 -0.5108326
0.2305955 1.070361
1.998561 -0.3364722
0.1924619 2.373964
-0.4010803 1.109589
-1.202113 0.09686252
1.180967 0.03665085
1.611766 1.555645
-0.7654755 -0.8684925
1.789521 2.174837
1.397001 2.623381
1.577334 0.4270965
2.923676 3.330235
1.136025 1.531346
-1.843165 -0.4444378
-2.263244 0.6938756
-0.4267212 2.031039
0.1628661 2.349726
0.8424812 0.8192677
-1.005561 0.9042165
0.1831269 0.6411988
0.482832 0.9573591
0.5231285 0.3332982
-0.4695511 2.623333
-1.255794 -0.7981306
1.314031 -0.2920199
0.1331038 2.194477
2.004266 1.700414
1.10016 4.003357
0.2766394 2.070583
-2.192122 1.008912
0.1384043 0.7056717
0.2170218 2.0955
0.3246469 2.20094
0.8151194 2.526349
-0.7381127 2.655431
0.004226098 -0.7405899
1.516271 2.130365
0.6582293 2.081099
-1.182311 1.484217
-0.4498086 -1.045918
-0.394357 1.139488
0.3835397 -0.4864811
0.6848039 -1.01763
-1.123422 -0.860829
-0.1290988 1.675133
0.5672074 1.4427
-0.5570823 1.471639
-1.756706 0.6765234
-1.564941 -0.6450939
-2.366876 -1.89324
0.2348258 0.5664799
0.9026047 3.881207
-1.290442 1.106297
-0.5731903 -0.303911
0.6863365 -0.978479
0.105948 1.244315
0.8803557 1.770337
0.4290666 -0.1937814
-1.894763 2.280873
-0.3635034 2.361052
0.7605556 1.995437
0.9734451 2.006414
-0.9899609 -0.01660684
0.2400403 -0.5230688
1.357041 1.83916
2.221749 2.562071
-0.9839479 2.364172
1.268529 0.7146538
-0.06024789 1.781038
1.301081 2.578641
1.849821 1.606988
0.5267301 0.8993904
-2.108074 -0.3606922
0.07900686 2.572543
0.7110748 1.280526
-0.4758343 3.025318
1.323544 -0.07549941
-0.8518059 0.1668254
-2.164142 1.77113
-2.336336 0.9124437
-0.9236868 -0.1477925
2.128958 0.743284
0.05684876 1.21661
-0.4524371 1.202081
0.04606663 2.484731
1.183559 3.016925
0.1029655 2.344036
0.2570391 1.294327
-0.7719926 0.2303004
0.5755789 -1.898536
2.464391 1.077059
2.493265 1.36452
0.6661693 2.679273
-0.1005505 4.864014
-0.2167761 2.364882
2.267733 2.226123
1.011804 2.20228
-0.3523965 2.71157
1.246649 0.864136
-0.4059104 0.6473061
-0.03489221 3.080938
1.456578 -0.6867647
2.462229 0.7839735
-0.9758407 1.833223
1.12456 3.470033
0.03494146 1.595539
1.854159 0.5294681
-1.716599 -1.426329
-1.300064 0.7756544
0.5597024 3.238617
-0.34708 -0.1703815
0.5431345 1.885182
1.873692 2.024249
-0.623038 -0.6893309
1.696138 0.1683637
1.403899 0.4476377
1.813855 1.709957
1.645589 1.914651
0.1841775 3.447468
-0.3855354 1.840331
0.8112493 0.2278559
0.9174262 0.4982762
1.46288 2.101283
-1.158571 1.685695
-0.1742958 0.7938985
1.736042 0.6358836
1.434723 0.7503041
1.997228 -0.2317901
1.758771 1.556224
3.731159 2.693682
1.289798 3.069107
3.185148 -0.9562757
-0.4143672 -0.4821385
0.3423642 1.20776
-0.436095 -0.3355338
-0.9566739 3.18641
-0.7010285 2.574632
0.3994888 -1.090688
-0.1398157 0.5393561
1.865846 1.96696
-1.07733 3.232245
1.168227 3.79752
-0.763837 2.369952
-0.5827983 2.16521
0.07537177 0.3146286
0.1018494 4.386358
0.3945758 2.546456
0.8699199 1.241488
0.6942843 2.184337
0.5962146 2.804402
-0.4193803 3.22597
-0.5995344 0.173553
2.170439 2.897261
0.9103732 4.066959
0.7385508 1.869685
0.4354789 0.8651762
-0.583255 1.242154
0.7614344 1.686026
-0.7182907 0.5032444
0.4839994 4.610463
2.015044 2.539078
2.831123 2.915634
0.7509612 0.3984481
0.5835036 1.170195
-1.41 0.3812414
-0.7882049 0.4911758
-0.6659126 3.326231
0.8546796 1.577042
-0.1243704 0.2258472
0.01068191 4.127536
2.471789 0.773722
-2.409413 1.112368
-0.6237493 0.2295174
0.04544768 1.652885
0.05220578 0.7785278
2.582641 1.542155
0.9236281 0.2473744
-0.6914115 2.342153
-0.3249425 1.381637
0.0866845 -0.192408
0.7649217 -1.903798
-0.4209693 1.179878
1.480671 2.156323
-2.240834 2.38821
-2.449037 2.075412
-0.4659217 1.094847
-0.5404348 1.199105
-0.05667913 -1.275129
-0.0681145 -2.234059
0.7496828 -1.193816
0.7106207 -0.6384054
1.438978 0.8295283
-2.204284 1.932669
-1.245387 2.209995
-0.3396596 3.626353
-1.416209 0.9231641
0.9124321 1.256541
2.533571 0.6527371
1.3023 0.02588987
1.142777 0.3707688
-0.4916388 1.073851
1.999087 -0.5457722
1.107133 0.5391156
1.478595 1.122541
0.686358 2.911972
2.080611 1.612211
-1.204736 -1.247011
0.0366052 2.000227
0.9706976 2.351917
1.6734 1.830841
1.501973 1.204424
2.393123 1.683409
1.953185 -0.4183316
0.1660383 0.2070133
-0.11557 1.281144
0.1841926 3.014381
-0.641294 3.38414
0.7294161 2.787979
0.4234571 3.298579
1.406585 3.386533
-1.176224 0.614604
-0.2115565 -1.266806
-0.5612256 0.03467578
-0.8472596 -1.504885
0.1026844 -1.603815
-1.974841 0.9982149
2.730166 1.170258
0.9526313 1.56036
-0.476799 -0.2235112
-0.466988 -1.946346
2.151212 -0.7044832
0.2119811 2.527515
-2.516395 0.9450154
0.7983061 0.1443002
-0.260255 1.645908
-1.143825 1.135883
0.3929381 -0.3413333
-0.338532 1.786764
1.417702 0.6588364
1.695772 1.799387
0.470112 1.353267
-0.3395701 2.787047
-0.07928497 0.5486749
0.2111958 2.885856
-1.170383 2.333147
0.5640147 1.603706
-0.2758826 1.635014
0.06067415 1.476675
-0.3712949 1.560616
-1.693412 1.255925
0.8468306 3.252355
2.230042 2.778934
2.059845 1.909953
0.2478792 3.117326
2.018336 1.104024
0.2204954 -0.4571149
-0.4351008 2.078535
1.807666 1.881178
0.06055824 0.9237638
0.667395 1.330037
0.1112813 1.28165
-0.2663141 2.362365
